Lamp5 Krt73,#DDACC9
Lamp5 Fam19a1 Pax6,#FF88AD
Lamp5 Fam19a1 Tmem182,#FFB8CE
Lamp5 Ntn1 Npy2r,#DD6091
Lamp5 Plch2 Dock5,#FF7290
Lamp5 Lsp1,#FFA388
Lamp5 Lhx6,#C77963
Sncg Slc17a8,#9440F3
Sncg Vip Nptx2,#9900B3
Sncg Gpr50,#C266D1
Sncg Vip Itih5,#6C00BF
Serpinf1 Clrn1,#A700FF
Serpinf1 Aqp5 Vip,#CA66FF
Vip Igfbp6 Car10,#7779BF
Vip Igfbp6 Pltp,#8194CC
Vip Igfbp4 Mab21l1,#533691
Vip Arhgap36 Hmcn1,#9189FF
Vip Gpc3 Slc18a3,#B09FFF
Vip Lmo1 Fam159b,#756FB3
Vip Lmo1 Myl1,#9FAAFF
Vip Ptprt Pkp2,#FF00FF
Vip Rspo4 Rxfp1 Chat,#AF00E6
Vip Lect1 Oxtr,#FF00B3
Vip Rspo1 Itga4,#B3128A
Vip Chat Htr1f,#FF4DC1
Vip Pygm C1ql1,#BD3D9A
Vip Crispld2 Htr2c,#882E81
Vip Crispld2 Kcne4,#AD589A
Vip Col15a1 Pde1a,#AC3491
Sst Chodl,#FFFF00
Sst Mme Fam114a1,#FFBB33
Sst Tac1 Htr1d,#804811
Sst Tac1 Tacr3,#B06411
Sst Calb2 Necab1,#BF480D
Sst Calb2 Pdlim5,#CC6D3D
Sst Nr2f2 Necab1,#FFDF11
Sst Myh8 Etv1 ,#D6C300
Sst Myh8 Fibin,#FF8011
Sst Chrna2 Glra3,#FF9F2C
Sst Chrna2 Ptgdr,#FFB307
Sst Tac2 Myh4,#D9C566
Sst Hpse Sema3c,#BF9F00
Sst Hpse Cbln4,#806B19
Sst Crhr2 Efemp1,#B95541
Sst Crh 4930553C11Rik ,#C77767
Sst Esm1,#C11331
Sst Tac2 Tacstd2,#BF8219
Sst Rxfp1 Eya1,#994C00
Sst Rxfp1 Prdm8,#802600
Sst Nts,#A81111
Pvalb Gabrg1,#ED4C50
Pvalb Th Sst,#FF2F7E
Pvalb Akr1c18 Ntf3,#FF4343
Pvalb Calb1 Sst,#BC2B11
Pvalb Sema3e Kank4,#C94545
Pvalb Gpr149 Islr,#E62A5D
Pvalb Reln Tac1,#D6221D
Pvalb Reln Itm2a,#E67A77
Pvalb Tpbg,#AF3F64
Pvalb Vipr2,#FF197F
L2/3 IT VISp Rrad,#D9F077
L2/3 IT VISp Adamts2,#A6E6A9
L2/3 IT VISp Agmat,#7AE6AB
L2/3 IT ALM Sla,#82AD7D
L2/3 IT ALM Ptrf,#B8FFCA
L2/3 IT ALM Macc1 Lrg1,#ADE6A6
L4 IT VISp Rspo1,#00979D
L5 IT VISp Hsd11b1 Endou,#00DDC5
L5 IT VISp Whrn Tox2,#26FFF2
L5 IT VISp Batf3,#00A809
L5 IT VISp Col6a1 Fezf2,#00FF00
L5 IT VISp Col27a1,#26BF64
L5 IT ALM Npw,#33A9CE
L5 IT ALM Pld5,#0094C2
L5 IT ALM Cbln4 Fezf2,#00A79D
L5 IT ALM Lypd1 Gpr88,#2F8C4D
L5 IT ALM Tnc,#00879D
L5 IT ALM Tmem163 Dmrtb1,#669D6A
L5 IT ALM Tmem163 Arhgap25,#005C07
L5 IT ALM Cpa6 Gpr88,#008F1F
L5 IT ALM Gkn1 Pcdh19,#53879D
L6 IT ALM Tgfb1,#53A39D
L6 IT ALM Oprk1,#174F61
L6 IT VISp Penk Col27a1,#A19922
L6 IT VISp Penk Fst,#7F9922
L6 IT VISp Col23a1 Adamts2,#C2E32C
L6 IT VISp Col18a1,#96E32C
L6 IT VISp Car3,#5100FF
L5 PT VISp Chrna6,#0000FF
L5 PT VISp Lgr5,#22737F
L5 PT VISp C1ql2 Ptgfr,#247740
L5 PT VISp C1ql2 Cdh13,#00A863
L5 PT VISp Krt80,#29E043
L5 PT ALM Slco2a1,#53D385
L5 PT ALM Npsr1,#1E806D
L5 PT ALM Hpgd,#4A8044
L5 NP VISp Trhr Cpne7,#008F39
L5 NP ALM Trhr Nefl,#3D9946
L5 NP VISp Trhr Met,#73CA95
L6 NP ALM Trh,#47867A
L6 CT ALM Cpa6,#00B8C3
L6 CT ALM Nxph2 Sla,#006091
L6 CT VISp Nxph2 Wls,#5C89CC
L6 CT VISp Gpr139,#74A0FF
L6 CT VISp Ctxn3 Brinp3,#74CAFF
L6 CT VISp Ctxn3 Sla,#69A8E6
L6 CT VISp Krt80 Sla,#578EBF
L6b VISp Col8a1 Rprm,#1F6666
L6b VISp Mup5,#2B7880
L6b VISp Col8a1 Rxfp1,#388899
L6b ALM Olfr111 Spon1,#266180
L6b ALM Olfr111 Nxph1,#494566
L6b P2ry12,#336D99
L6b VISp Crh,#254566
L6b Hsd17b2,#335280
Meis2 Adamts19,#FF0000
CR Lhx5,#00FF66
Astro Aqp4,#665C47
OPC Pdgfra Grm5,#476655
OPC Pdgfra Ccnb1,#475D4B
Oligo Rassf10,#6B998D
Oligo Serpinb1a,#6C8581
Oligo Synpr,#476662
VLMC Osr1 Cd74,#664747
VLMC Osr1 Mc5r,#89997A
VLMC Spp1 Hs3st6,#6B8059
VLMC Spp1 Col15a1,#74996B
Peri Kcnj8,#665547
SMC Acta2,#807059
Endo Ctla2a,#997F7A
Endo Cytl1,#805F59
PVM Mrc1,#4C6647
Microglia Siglech,#598069
